pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
Gl 410 b,2.83,8.4,,0.0531,,3842.0,0.543,0.55,0.05,2.04
HD 110067 f,2.601,5.04,489.0,0.2163,,5266.0,0.788,0.798,-0.2,1.57
Kepler-1859 c,1.66,3.39,1327.0,0.0473,732.82,5887.0,1.235,1.09,0.16,4.07
HD 21520 b,2.697,17.7,637.0,0.1726,25.7431,5871.0,1.044,1.09,0.049,1.35
TOI-5688 A b,10.3,124.0,742.0,0.03379,50.3,3713.0,0.57,0.6,0.47,0.61
TOI-7149 b,13.2,224.0,593.0,0.02603,20.6,3363.0,0.351,0.344,-0.08,0.53
K2-342 b,2.03,4.78,861.0,,,5920.0,1.09,1.01,-0.06,3.14
HD 28471 c,2.26,5.72,1066.0,0.065,,5766.0,1.08,0.98,-0.04,2.72
K2-408 b,1.677,3.45,,,,5335.0,0.784,0.813,-0.171,4.02
TOI-4641 b,8.18255591,1229.99593509,950.11,0.173,192.5802,6560.0,1.72,1.41,-0.09,
WASP-107 c,13.0,111.23994245,,,,4425.0,0.657,0.683,0.02,0.278
HD 11506 c,14.0,127.1313628,,0.771,,6123.0,1.24,1.22,0.3,0.255
HD 202772 A b,18.2370116,323.54931833,2181.0,0.05208,3770.0,6442.0,2.554,1.721,0.232,0.293
TOI-521 b,1.98,5.3,794.0,0.0195,66.0,3544.0,0.421,0.42,-0.12,3.8
ome Ser b,14.0,233.92170755,,0.838,,4724.0,10.99,1.01,-0.12,0.468
TOI-5542 b,11.30986153,419.53349724,441.0,0.332,9.6,5700.0,1.058,0.89,-0.21,1.6
LTT 9779 b,4.72,29.32,1978.0,0.01679,1781.1556,5443.0,0.949,1.02,0.27,1.536
TOI-2120 b,2.122,6.8,384.0,0.0377,3.61,3131.0,0.245,0.211,0.39,
18 Del b,12.5,2926.24614325,,2.476,,4980.0,8.8,2.1,-0.06,8.23
HD 208897 b,13.7,379.48711796,,1.063,,4860.0,4.98,1.25,0.21,0.811
